,wormbase id,common name
0,WBGene00004181,pri-2
1,WBGene00003955,pcn-1
2,WBGene00010785,top-2
3,WBGene00000413,cdt-1
4,WBGene00003159,mcm-7
5,WBGene00018778,F53H1.4
6,WBGene00008722,F12F6.7
7,WBGene00020212,T04D1.2
8,WBGene00013553,Y75B8A.18
9,WBGene00000804,csc-1
10,WBGene00000257,bmk-1
11,WBGene00003156,mcm-4
12,WBGene00001002,div-1
13,WBGene00001830,hcp-2
14,WBGene00009444,erh-2
15,WBGene00017713,F22E5.20
16,WBGene00004873,smc-3
17,WBGene00021648,mis-12
18,WBGene00000405,cdk-1
19,WBGene00021559,Y45G5AM.7
20,WBGene00012236,W04A8.1
21,WBGene00000275,bub-1
22,WBGene00009861,fbxb-8
23,WBGene00011532,chaf-1
24,WBGene00001832,hcp-4
25,WBGene00007258,hasp-1
26,WBGene00010093,capg-2
27,WBGene00004874,smc-4
28,WBGene00001833,hcp-6
29,WBGene00004339,rfc-3
30,WBGene00006795,unc-61
31,WBGene00017774,nop-1
32,WBGene00016449,tost-1
33,WBGene00015610,C08F1.6
34,WBGene00016381,sgo-1
35,WBGene00044001,C09G4.4
36,WBGene00022376,Y94H6A.3
37,WBGene00003222,mes-4
38,WBGene00019087,citk-2
39,WBGene00018613,skpt-1
40,WBGene00012698,sws-1
41,WBGene00015971,swsn-2.2
42,WBGene00003367,mix-1
43,WBGene00004916,snr-3
44,WBGene00004028,pif-1
45,WBGene00022774,swsn-6
46,WBGene00015291,enee-1
47,WBGene00015515,spdl-1
48,WBGene00009141,ncbp-2
49,WBGene00017832,kbp-2
50,WBGene00016202,kle-2
51,WBGene00020951,sna-1
52,WBGene00012972,rsa-2
53,WBGene00008070,C43D7.8
54,WBGene00004042,plk-1
55,WBGene00000099,air-2
56,WBGene00017317,attf-2
57,WBGene00015518,C06E1.1
58,WBGene00003161,mdf-2
59,WBGene00000773,cpf-1
60,WBGene00011976,chmp-7
61,WBGene00000418,ced-4
62,WBGene00002985,lig-1
63,WBGene00004312,rba-1
64,WBGene00004296,rad-50
65,WBGene00000265,brd-1
66,WBGene00007028,trr-1
67,WBGene00004917,snr-4
68,WBGene00003576,ndc-80
69,WBGene00004781,set-1
70,WBGene00003157,mcm-5
71,WBGene00044614,C36B1.14
72,WBGene00021913,cec-8
73,WBGene00009385,sas-5
74,WBGene00013219,elof-1
75,WBGene00016071,C24H12.1
76,WBGene00003802,npp-16
77,WBGene00002027,hsr-9
78,WBGene00003020,lin-35
79,WBGene00044431,mzt-1
80,WBGene00019432,knl-2
81,WBGene00016374,swd-2.2
82,WBGene00000411,cdl-1
83,WBGene00002229,klp-19
84,WBGene00022099,Y69A2AR.28
85,WBGene00004914,snr-1
86,WBGene00007971,rpb-3
87,WBGene00006940,wee-1.3
88,WBGene00000865,cyb-1
89,WBGene00004896,smu-2
90,WBGene00004386,rnp-3
91,WBGene00017990,cec-4
92,WBGene00001840,hel-1
93,WBGene00001051,cks-1
94,WBGene00004895,smu-1
95,WBGene00003975,pen-2
96,WBGene00001829,hcp-1
97,WBGene00007256,swsn-9
98,WBGene00007640,pcmd-1
99,WBGene00013460,cpsf-3
100,WBGene00011016,R04F11.3
101,WBGene00017993,cec-5
102,WBGene00004392,rnr-2
103,WBGene00021636,pcaf-1
104,WBGene00021346,Y37E3.1
105,WBGene00001831,hcp-3
106,WBGene00004806,skp-1
107,WBGene00003079,lsm-5
108,WBGene00003041,lin-61
109,WBGene00004723,sap-49
110,WBGene00002637,let-418
111,WBGene00001860,him-1
112,WBGene00007168,fbxl-2
113,WBGene00007018,mdt-18
114,WBGene00007186,B0464.6
115,WBGene00011562,sas-7
116,WBGene00015613,C08F1.10
117,WBGene00013726,Y106G6H.16
118,WBGene00003134,mat-3
119,WBGene00006988,zyg-1
120,WBGene00004143,pqn-59
121,WBGene00001854,hil-3
122,WBGene00000148,aph-2
123,WBGene00008338,pafo-1
124,WBGene00010844,prp-3
125,WBGene00001579,gex-2
126,WBGene00021359,Y37E11AL.3
127,WBGene00018831,F54E7.9
128,WBGene00004955,spd-5
129,WBGene00002068,ify-1
130,WBGene00004340,rfc-4
131,WBGene00022694,gcna-1
132,WBGene00008838,F15A4.2
133,WBGene00006974,zen-4
134,WBGene00001898,his-24
135,WBGene00001971,hmg-1.1
136,WBGene00022850,ZK1127.3
137,WBGene00007042,pbrm-1
138,WBGene00007217,tads-1
139,WBGene00016971,toe-2
140,WBGene00010836,M03B6.4
141,WBGene00013038,ani-1
142,WBGene00004953,spd-2
143,WBGene00018238,F40F4.7
144,WBGene00002231,knl-1
145,WBGene00000301,cav-1
146,WBGene00012198,citk-1
147,WBGene00001853,hil-2
148,WBGene00001324,eor-1
149,WBGene00003218,mep-1
150,WBGene00000875,cyk-4
151,WBGene00001808,gut-2
152,WBGene00015022,B0205.8
153,WBGene00010678,K08F4.3
154,WBGene00010479,K01G5.8
155,WBGene00012807,Y43F4B.10
156,WBGene00003036,lin-53
157,WBGene00020537,fbxb-37
158,WBGene00019767,rpa-2
159,WBGene00003002,lin-13
160,WBGene00007136,B0285.3
161,WBGene00012951,Y47H9C.8
162,WBGene00011977,T24B8.3
163,WBGene00021199,Y17G9B.2
164,WBGene00001996,hpl-2
165,WBGene00006307,suf-1
166,WBGene00010037,pir-2
167,WBGene00004825,skr-19
168,WBGene00017165,F01F1.11
169,WBGene00000889,cyn-13
170,WBGene00018132,F37A4.2
171,WBGene00008683,repo-1
